id,LEVEL3_COD,invasive,e.species,status.x,e.n,e.sd,e.temp_mean_30,e.temp_sd_30,e.temp_mean_30_sd,e.temp_sd_30_sd,e.reservoir_mean_30,e.reservoir_sd_30,e.reservoir_mean_30_sd,e.reservoir_sd_30_sd,e.temp_mean_60,e.temp_sd_60,e.temp_mean_60_sd,e.temp_sd_60_sd,e.reservoir_mean_60,e.reservoir_sd_60,e.reservoir_mean_60_sd,e.reservoir_sd_60_sd,e.temp_mean_90,e.temp_sd_90,e.temp_mean_90_sd,e.temp_sd_90_sd,e.reservoir_mean_90,e.reservoir_sd_90,e.reservoir_mean_90_sd,e.reservoir_sd_90_sd,n.species,status.y,n.n,n.sd,n.temp_mean_30,n.temp_sd_30,n.temp_mean_30_sd,n.temp_sd_30_sd,n.reservoir_mean_30,n.reservoir_sd_30,n.reservoir_mean_30_sd,n.reservoir_sd_30_sd,n.temp_mean_60,n.temp_sd_60,n.temp_mean_60_sd,n.temp_sd_60_sd,n.reservoir_mean_60,n.reservoir_sd_60,n.reservoir_mean_60_sd,n.reservoir_sd_60_sd,n.temp_mean_90,n.temp_sd_90,n.temp_mean_90_sd,n.temp_sd_90_sd,n.reservoir_mean_90,n.reservoir_sd_90,n.reservoir_mean_90_sd,n.reservoir_sd_90_sd,e.vector,n.vector,continent,n,longitude,latitude,growthform,latitude.abs,yi,vi,phenology
1,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Epilobium angustifolium,native,1414,19.286261062812912,264.60208016143326,-10.707840758363437,386.43744221623797,376.04880122337215,-14.14266770288293,-14.142783254028716,375.91801360267095,375.91800925227994,270.0062473115467,-10.800221774340963,386.6372289264817,376.04541580692904,-14.142719650323881,-14.142745300221142,375.91801164689343,375.9180106811941,273.5890463451797,-11.072071409461762,386.7645526555577,376.0346903615896,-14.142775352948863,-14.14275620714035,375.91800954974514,375.91801027056096,232.78824449938836,209.65965616339827,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.03818349029291331,0.022929935450802078,Flowering
2,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Oenothera suffrutescens,native,275,19.756667215890115,277.45834563839077,4.20647978690409,4.06889843417262,1.180970663514997,6.311554046180128e-5,6.29637979062633e-5,8.032586325090575e-5,4.156567772502112e-5,283.3617401677912,3.718585317326081,3.429105447364961,1.0802715707361588,5.9609991854896905e-5,8.442970906172519e-5,3.557372003346379e-5,3.588266995766781e-5,288.0822033765388,3.2250037769890194,2.5080701164611767,1.050297708936671,7.669637526268631e-5,1.028254679619084e-4,3.5392746895582284e-5,3.08062375635083e-5,232.78824449938836,181.64465258394407,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.19306264541290052,0.025916825210232464,Flowering
3,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Epilobium latifolium,native,399,18.946795936082868,249.03890771443582,-21.97960670867823,514.3458237634022,500.7316831465951,-25.059852758611505,-25.060114705641965,500.5761266412805,500.57611349456425,254.11521221215065,-21.78970661597333,514.6012318748533,500.7413222650914,-25.059929677874933,-25.06005432698402,500.5761227808232,500.5761165248736,258.9868528565269,-21.691200306989124,514.8427316586591,500.7461479420675,-25.06004042595653,-25.06004416807366,500.57611722254575,500.5761170347316,232.78824449938836,202.63864946033394,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.05266732839270351,0.02473161158849977,Flowering
4,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Oenothera nuttallii,native,45,16.734822664547877,284.5888233552156,3.725188336233002,3.582413438307867,0.7830727272903261,4.010832970988525e-5,6.156643107587397e-5,2.1840904725527247e-5,2.4897060410567572e-5,289.0979492413556,3.2261966061459244,2.8743475556866502,0.9513498744416852,5.868586870166037e-5,7.897574877228476e-5,2.7031641637805248e-5,2.4448513844488135e-5,292.2404934805411,2.7979192062818554,2.2024587146506733,0.8652729020085295,5.0806479507654436e-5,6.735061332226588e-5,3.773190752636511e-5,3.529642127350996e-5,232.78824449938836,208.52488941706787,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-1.3380306831950233,0.05439070060650745,Flowering
5,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Oenothera villosa,native,56,12.951805292312699,278.8190286727179,3.7150783620913295,3.279647556316436,1.1219505764385327,1.1423634850031435e-4,6.294633097163106e-5,1.2225902467320111e-4,3.820285252357975e-5,284.8248506818499,3.5640736427967274,3.1968309729717697,1.089668676430041,9.515691936292053e-5,1.0921800455484028e-4,6.12788962055545e-5,2.6872069250768083e-5,289.7225651150658,3.2123851222566677,2.5390783783668702,1.0086385765280763,7.686118951043753e-5,1.0377752160754807e-4,3.425636795610287e-5,3.194427854528079e-5,232.78824449938836,196.16595805761747,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,0.38650076198635014,0.04081888408439492,Flowering
6,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Epilobium ciliatum,native,49,24.40452588149737,281.0176718990819,3.585662111731283,5.487485490126352,1.1143833244358268,1.1540649204232569e-4,7.667441445080078e-5,1.0193239493312947e-4,4.081988162692765e-5,285.8940496327926,3.460633322707056,4.318527213979157,0.923587827271243,1.1127835159225047e-4,9.993637563006323e-5,8.524632038787432e-5,3.5149193782456754e-5,289.0971207599251,3.1443683379598286,2.491133044702461,1.0829056565941089,7.652503936772253e-5,9.873639025583337e-5,3.365994763392081e-5,2.9435461372510135e-5,232.78824449938836,209.59253146824074,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,0.48490959623762236,0.043881115894567356,Flowering
7,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Oenothera biennis,native,76,24.858150382964244,147.43111375507556,-128.26947939910266,1179.4039953470142,1147.3475586330574,-131.56568430971345,-131.56569890812474,1146.9639737098532,1146.9639720129708,151.94330275686164,-128.31422640858864,1179.9244747309208,1147.342402290151,-131.56570671514405,-131.56568515390893,1146.963971105504,1146.9639736117233,154.2136672839784,-128.63393813300414,1180.1852982285811,1147.3050607209211,-131.565718588007,-131.56569387920175,1146.9639697254343,1146.963972597519,232.78824449938836,215.3970048106699,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.14357650463356625,0.035465299656100666,Flowering
8,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Oenothera cespitosa,native,47,18.555055646777877,56.94054011351673,-208.26783635055727,1498.700848323221,1459.1723029283587,-212.7446602681964,-212.7446515957191,1458.5040530550357,1458.5040543475466,60.923545631787455,-208.6019927800895,1499.2946855207472,1459.1218029468548,-212.7446522662526,-212.74463647775787,1458.5040542476133,1458.5040566006664,66.24164413560366,-208.533019116172,1500.0867033670547,1459.1322633178638,-212.74462944904684,-212.74460206285127,1458.5040576481974,1458.5040617297257,232.78824449938836,157.70711736417326,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,-0.20232398559475706,0.04372129076661475,Flowering
9,ABT,Lythrum salicaria,Lythrum salicaria,exotic,45,15.904796849314465,287.0464673755787,3.3927780469892395,3.0241159563284685,1.2186763732876114,7.773696804510468e-5,9.390544662121035e-5,3.282953718526128e-5,2.1768750388258555e-5,290.69391829879197,2.8323730858092246,2.157642759076858,0.8695289345686024,8.543489319703341e-5,9.94280142673987e-5,3.369517590804919e-5,2.84655289011275e-5,290.5852741156684,2.8290140906895007,1.9835692676260104,0.5975500576198811,5.0377693846861906e-5,7.849497588420228e-5,1.8882083373612383e-5,1.972372535552964e-5,Circaea alpina,native,23,15.452425669695543,279.0558367743009,3.5310556664656363,4.853227607213004,0.6473436491161829,1.2033564437076487e-4,5.674770087560719e-5,1.2044347497840314e-4,3.665497851931252e-5,284.98337004288385,3.310680813303172,5.219462541689424,1.0946166065648584,1.294307985126355e-4,9.533685595451713e-5,9.596943398295205e-5,3.426803525825875e-5,289.83118405549425,3.173527625522537,3.133319433750248,1.167629579985171,7.813573971318164e-5,1.0024692415348784e-4,3.734067043752823e-5,2.721736001962273e-5,232.78824449938836,196.25664674759193,Northern America,2573,-114.40536735727329,54.98475101095,Herbaceous,54.98475101095,0.56507375092689,0.06804833856227704,Flowering
10,ALA,Pueraria montana,Pueraria montana,exotic,108,28.469375130569166,296.78352105411483,2.0748903533367082,3.4460651570412706,0.8162157267740734,1.1355854069623983e-4,1.4906879284647248e-4,4.639663246327712e-5,3.9074302540299466e-5,298.88846736955054,1.5389325815679415,2.0448543362205513,0.5892033776777816,1.2207525150741938e-4,1.442438740092782e-4,4.605010302850132e-5,3.9149668825835705e-5,299.2236506803536,1.4836074521973188,1.664870443024156,0.5653416518637855,1.3153933127035323e-4,1.472757295980601e-4,5.0063577418527114e-5,3.718756776803063e-5,Amphicarpaea bracteata,native,22,10.538364262433282,299.2182471073035,1.3475762158388722,1.2561796084879167,0.2713137725370394,1.3636009150344423e-4,1.5027872701359692e-4,3.782726878671451e-5,3.286479460917619e-5,299.7810481678356,1.3526477788581033,0.6383269994746413,0.22792173978420813,1.267187334428079e-4,1.519077926553175e-4,4.343758217807672e-5,4.389173927584039e-5,298.56816665187023,1.6700593371663761,1.3051013664552642,0.6726759395149454,1.2449598818997334e-4,1.5588347570265289e-4,4.232989099257083e-5,3.318699272325667e-5,226.243315885325,253.32442331645453,Northern America,4787,-86.83075751119802,32.7810083347155,Herbaceous,32.7810083347155,0.502580545340969,0.05568529396209405,Flowering
